stateBchoice1,stateBchoice2,stateCchoice1,stateCchoice2,trialNum
0.618574824,0.327739139,0.388502571,0.700255185,56
0.597942077,0.313825713,0.38638765,0.726677798,57
0.621966193,0.341606656,0.411113085,0.711100401,58
0.618506147,0.352633648,0.441400273,0.689140792,59
0.648935655,0.421159949,0.466725965,0.71115685,60
0.643183688,0.422484478,0.440651251,0.705525257,61
0.639046278,0.445638145,0.433005269,0.73519334,62
0.640422606,0.403749715,0.470742968,0.704119861,63
0.607381792,0.432585101,0.465990438,0.708428684,64
0.612422124,0.392267421,0.47395383,0.685889251,65
0.558658547,0.365551785,0.535503679,0.693992189,66
0.566164774,0.344494221,0.54024087,0.694361505,67
0.578186243,0.349083274,0.582703581,0.699581413,68
0.585711725,0.348628671,0.606474707,0.662203584,69
0.582488849,0.371973097,0.605727302,0.691801611,70
0.602605346,0.337028155,0.600797688,0.696659863,71
0.599726357,0.347030794,0.607846654,0.696104914,72
0.604937658,0.325336261,0.599603791,0.707933767,73
0.59544265,0.288581589,0.579287426,0.734457513,74
0.595631032,0.285438503,0.59034266,0.716771764,75
0.595144382,0.250270482,0.563211325,0.743110453,76
0.584373459,0.290086112,0.571165449,0.721012509,77
0.526085854,0.256987575,0.545246514,0.745783679,78
0.558974702,0.25032093,0.551835873,0.734072485,79
0.562428182,0.252395032,0.54343926,0.725721623,80
0.533296977,0.258962649,0.571751213,0.741049518,81
0.523898724,0.265022169,0.577630235,0.738314784,82
0.529904321,0.265908343,0.623930529,0.698596315,83
0.519788699,0.284097958,0.60849975,0.71639669,84
0.520988777,0.310914314,0.599580832,0.718813802,85
0.512529217,0.306246853,0.596016664,0.729329877,86
0.485949368,0.282130226,0.590971743,0.742369324,87
0.490488902,0.305403785,0.593043348,0.738455121,88
0.507896072,0.303712016,0.576147359,0.721707387,89
0.540820482,0.308733447,0.59958387,0.717288043,90
0.521392996,0.3150574,0.611222276,0.673830802,91
0.506475926,0.324746192,0.598267769,0.692985334,92
0.449583306,0.318611315,0.591354428,0.664548631,93
0.44739238,0.330920291,0.600108756,0.683928888,94
0.458807694,0.318058593,0.607174466,0.688551866,95
0.469996901,0.323626597,0.62347369,0.724482323,96
0.46669589,0.331184933,0.677238044,0.699621672,97
0.466380489,0.308128633,0.672717253,0.687499002,98
0.444177082,0.305667015,0.653898816,0.674977538,99
0.490037072,0.307738868,0.673229598,0.676564855,100
0.506297786,0.295933591,0.654847631,0.671294306,101
0.471156185,0.292531441,0.663661532,0.687337625,102
0.464106483,0.281298428,0.667862964,0.646874021,103
0.495079202,0.317104178,0.668194257,0.643969431,104
0.483529709,0.344664254,0.682955659,0.654745567,105
0.467931238,0.343340841,0.702154344,0.621868067,106
0.40551147,0.312350828,0.684926831,0.607435684,107
0.390060355,0.283603763,0.701889574,0.612087025,108
0.425242393,0.276032692,0.642876204,0.617028497,109
0.40335372,0.287863953,0.709385315,0.573327618,110
0.407111317,0.26137312,0.683357039,0.600886411,111
0.399079535,0.25190438,0.698770665,0.607229886,112
0.399675868,0.287702927,0.730540547,0.587383181,113
0.388804648,0.3492618,0.74318964,0.610730392,114
0.368236462,0.363213568,0.724142146,0.575130161,115
0.329816163,0.354149054,0.713978996,0.517002943,116
0.330011996,0.351848413,0.746137583,0.500220816,117
0.332410598,0.36612681,0.710244268,0.530932507,118
0.348138854,0.399863844,0.686701251,0.537345011,119
0.326842832,0.418428714,0.662544614,0.51937521,120
0.317584777,0.40872297,0.65064744,0.549174173,121
0.300526621,0.332751532,0.632363493,0.516707074,122
0.315530313,0.349235292,0.628667466,0.546459249,123
0.304813265,0.344863553,0.586042044,0.491935743,124
0.257930831,0.355759285,0.59010299,0.496003595,125
0.257677945,0.350151558,0.571948757,0.433390973,126
0.273288248,0.386422833,0.583044518,0.471306909,127
0.27667535,0.375819255,0.552746024,0.481421885,128
0.250439939,0.374675359,0.580930481,0.462743296,129
0.250062505,0.380870779,0.584608523,0.438076254,130
0.259147448,0.416047827,0.557237227,0.458901032,131
0.291039403,0.393240198,0.542316195,0.454556333,132
0.251810714,0.420413466,0.567982112,0.44125486,133
0.269593548,0.487251343,0.596043664,0.443808027,134
0.266195605,0.492580663,0.553928192,0.449711083,135
0.267800364,0.519242485,0.536240742,0.433438756,136
0.322933525,0.547819789,0.484955992,0.459482956,137
0.325968828,0.543751111,0.495582231,0.445117424,138
0.356150395,0.569583015,0.497788061,0.496233904,139
0.338640399,0.565096109,0.467837853,0.452239426,140
0.34641705,0.573584967,0.514096884,0.468780663,141
0.336515334,0.574698188,0.447375317,0.418956037,142
0.362143072,0.614408586,0.491720456,0.43704015,143
0.340687739,0.645934322,0.463473138,0.390834628,144
0.33564603,0.600652137,0.454299397,0.420440592,145
0.349690991,0.607567573,0.442917245,0.431442393,146
0.359142746,0.596221525,0.449048301,0.437000323,147
0.379153271,0.596491796,0.476985836,0.427140665,148
0.343198372,0.611466881,0.508793746,0.421433731,149
0.386415366,0.607361248,0.46760115,0.439409984,150
0.403334131,0.633012186,0.449932214,0.428757293,151
0.428940332,0.60492158,0.406262307,0.447949965,152
0.446069598,0.610631091,0.419463748,0.474468982,153
0.429931733,0.578529039,0.434712931,0.475623219,154
0.431617094,0.576384141,0.427788175,0.46762345,155
0.440347321,0.622006092,0.402104329,0.457778533,156
0.447133686,0.620004617,0.401284033,0.466926034,157
0.456277357,0.648829093,0.470463138,0.476330322,158
0.46435049,0.617830673,0.50517027,0.563832654,159
0.457934575,0.621968958,0.559526705,0.554669093,160
0.498323799,0.618000271,0.562892916,0.533525277,161
0.541185615,0.659905515,0.593675344,0.561746152,162
0.508276503,0.630958336,0.591540266,0.543338994,163
0.52568549,0.702937766,0.616822807,0.563610355,164
0.562712812,0.747422713,0.627473948,0.57332287,165
0.535797527,0.722596725,0.611998962,0.541964505,166
0.552420031,0.73063549,0.647719311,0.540306027,167
0.555320535,0.722291252,0.652601848,0.558343195,168
0.564421394,0.73768399,0.63721977,0.57495831,169
0.526854047,0.734897444,0.641153592,0.580096393,170
0.551043568,0.73321396,0.615690564,0.597825186,171
0.517846684,0.732322904,0.583323142,0.655628047,172
0.484806934,0.722178011,0.596289395,0.602678117,173
0.513478543,0.71105668,0.634565062,0.597271613,174
0.469931381,0.739260754,0.644634636,0.586697042,175
0.483764094,0.720834834,0.640547438,0.54236853,176
0.504916032,0.68280525,0.643597884,0.588602635,177
0.542126102,0.719228808,0.699249451,0.581104608,178
0.558762926,0.71450258,0.690638248,0.615071888,179
0.532786206,0.727907024,0.692388727,0.596288661,180
0.501483633,0.683714466,0.6769799,0.560706345,181
0.525023672,0.682096089,0.711593307,0.594523212,182
0.520354587,0.680336667,0.707320268,0.60413588,183
0.506977448,0.657391819,0.699720054,0.614704583,184
0.510830958,0.660800188,0.642647444,0.643488224,185
0.501354073,0.652739269,0.646899607,0.642036675,186
0.496283076,0.633872636,0.587466366,0.661311995,187
0.494520702,0.650925525,0.586664614,0.697804844,188
0.510607072,0.651879952,0.587816882,0.679495323,189
0.53644749,0.670304433,0.570085773,0.693347304,190
0.509730105,0.678142223,0.568596913,0.672676438,191
0.531375499,0.643980137,0.558993272,0.626138412,192
0.471933802,0.665685951,0.59371917,0.628255916,193
0.504653113,0.684858448,0.573997507,0.644672751,194
0.496325963,0.716676996,0.587205601,0.657126429,195
0.500218934,0.697652248,0.595405491,0.69259617,196
0.486926818,0.671966728,0.589098173,0.697566209,197
0.493298423,0.658926938,0.578143177,0.681321619,198
0.520906582,0.664271323,0.536568797,0.674201454,199
0.521843569,0.689393306,0.580863422,0.682591337,200
